Title,DOI,URL,QuerySets,Sources,From_Scopus,From_IEEE_Xplore,From_ScienceDirect,source
Beyond Accuracy: Explainable Multimodal Deepfake Detection Through Cross-Modal Feature Analysis and Dynamic Attention Weighting,10.1109/QPAIN66474.2025.11171737,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11171737,C,,0,0,0,IEEE Xplore
Beyond Accuracy: Explainable Multimodal Deepfake Detection Through Cross-Modal Feature Analysis and Dynamic Attention Weighting,,,A|B,IEEE Xplore,0,1,0,
Beyond Deepfake Images: Detecting AI-Generated Videos,,,B,IEEE Xplore,0,1,0,
BiFAT: Bilateral Filtering and Attention Mechanisms in a Two-Stream Model for Deepfake Detection,,,B,Scopus,1,0,0,
Blockchain Based Deepfake Video Detection Using Deep Learning,10.1109/ICETI4T63625.2025.11132246,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132246,C,,0,0,0,IEEE Xplore
Blockwise Spectral Analysis for Deepfake Detection in High-fidelity Videos,,,B,IEEE Xplore,0,1,0,
Boosting Deep Feature Fusion-Based Detection Model for Fake Faces Generated by Generative Adversarial Networks for Consumer Space Environment,10.1109/ACCESS.2024.3470128,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10699337,C,,0,0,0,IEEE Xplore
Boosting Deepfake Detection Generalizability via Expansive Learning and Confidence Judgement,,,B,IEEE Xplore,0,1,0,
CAL-Net: a continual adaptive learning network for deepfake detection using multi-track fusion and domain adaptation,,,B,Scopus,1,0,0,
CIPHER: Counterfeit Image Pattern High-level Examination via Representation for GAN and Diffusion Discriminator Learning,,,B,IEEE Xplore,0,1,0,
CIPHER: Counterfeit Image Pattern High-level Examination via Representation for GAN and Diffusion Discriminator Learning,10.1109/ICCE-Asia67487.2025.11263770,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11263770,C,,0,0,0,IEEE Xplore
CNN and Transformer-coordinated deepfake detection; CNN 结合 Transformer 的深度伪造高效检测,,,B,Scopus,1,0,0,
CNN based Deep Learning model for Deepfake Detection,10.1109/ASIANCON55314.2022.9908862,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9908862,C,,0,0,0,IEEE Xplore
Capsule Networks and LSTM Models for Robust Deepfake Detection in Audio and Video,10.1109/ICICNIS64247.2024.10823109,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10823109,C,,0,0,0,IEEE Xplore
Capturing the Persistence of Facial Expression Features for Deepfake Video Detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081173102&partnerID=40&md5=1f8c95fa77c0da45c34b2cb2547bf2ff,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081173102&partnerID=40&md5=1f8c95fa77c0da45c34b2cb2547bf2ff,C,,0,0,0,Scopus
Cascaded ResNet50-LSTM Architecture for Deepfake Video Identification,10.1109/ICEPE65965.2025.11139778,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11139778,C,,0,0,0,IEEE Xplore
Centroid-based Contrastive Consistency Learning for transferable deepfake detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001413488&partnerID=40&md5=f72b66751f969d1229e60a9c69bbae99,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001413488&partnerID=40&md5=f72b66751f969d1229e60a9c69bbae99,C,,0,0,0,Scopus
Chapter 5 - Low-level feature extraction (including edge detection)∗,,,B,ScienceDirect,0,0,1,
Chapter 8 - Manipulating faces for identity theft via morphing and deepfake: Digital privacy,,,A|B,ScienceDirect,0,0,1,
Circumventing shortcuts in audio-visual deepfake detection datasets with unsupervised learning,,,A,IEEE Xplore,0,1,0,
Cognitive Inspired Generalization Boosting for Face Forgery Detection,,,B,IEEE Xplore,0,1,0,
CombinedNet: A Hybrid Model for Deepfake Audio Detection Using Deep Learning Techniques,10.1109/IJCNN64981.2025.11229182,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229182,C,,0,0,0,IEEE Xplore
Comparative Analyais of CNN Architectures for Deep Fake Detection,10.1109/ISACC65211.2025.10969171,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10969171,C,,0,0,0,IEEE Xplore
Comparative Analysis Of Deep Learning for Robust Deepfake Detection,10.1109/AECE62803.2024.10911049,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911049,C,,0,0,0,IEEE Xplore
Comparative Analysis and Evaluation of CNN Models for Deepfake Detection,10.1109/AiDAS60501.2023.10284611,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10284611,C,,0,0,0,IEEE Xplore
Comparative Analysis of DeepFake Detection Methods,,,A,IEEE Xplore,0,1,0,
Comparative Evaluation of Xception and DenseNet121 for Robust Deepfake Detection,10.23919/INDIACom66777.2025.11115841,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11115841,C,,0,0,0,IEEE Xplore
Comparative Study: Deepfake Detection in Tamil Speech using Hybrid Convolutional Networks,10.1109/WiSPNET64060.2025.11005318,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11005318,C,,0,0,0,IEEE Xplore
Comparison of deepfake detection using CNN and hybrid models,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023988519&partnerID=40&md5=0c48f5b82665f60e63eec80e3d65cf2a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023988519&partnerID=40&md5=0c48f5b82665f60e63eec80e3d65cf2a,C,,0,0,0,Scopus
Complex-valued neural networks for voice anti-spoofing,,,B,Scopus,1,0,0,
Comprehensive Analysis of Deepfake Detection Models,10.1109/ICETI4T63625.2025.11132138,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132138,C,,0,0,0,IEEE Xplore
Comprehensive Exploration of Deepfake Detection Using Deep Learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208021779&partnerID=40&md5=f998b7a51f7e5f642415a4e889388342,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208021779&partnerID=40&md5=f998b7a51f7e5f642415a4e889388342,C,,0,0,0,Scopus
Compressed Deepfake Detection using Spatio-Temporal Approach with Model Pruning,,,B,ScienceDirect,0,0,1,
ConTrans-Detect: A Multi-Scale Convolution-Transformer Network for DeepFake Video Detection,10.1109/M2VIP58386.2023.10413387,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10413387,C,,0,0,0,IEEE Xplore
Constructing New Backbone Networks via Space-Frequency Interactive Convolution for Deepfake Detection,,,B,IEEE Xplore,0,1,0,
Content-Invariant Spatio-Temporal Neural Framework for Forgery Detection in Image Sequences,10.1109/ICUMT67815.2025.11268794,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268794,C,,0,0,0,IEEE Xplore
Context-Aware Deepfake Detection for Securing AI-Driven Financial Transactions,,,B,"IEEE Xplore, Scopus",1,1,0,
Context-Preserving and Sparsity-Aware Temporal Graph Network for Unified Face Forgery Detection,,,A,IEEE Xplore,0,1,0,
Context-Preserving and Sparsity-Aware Temporal Graph Network for Unified Face Forgery Detection,10.1109/TCE.2025.3633697,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11250982,C,,0,0,0,IEEE Xplore
ConvNext-PNet: An interpretable and explainable deep-learning model for deepfakes detection,10.1109/IJCB62174.2024.10744484,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10744484,C,,0,0,0,IEEE Xplore
Critical Contour Prior-Guided Graph Learning With Pose Calibration for Identity-Aware Deepfake Detection,,,A,"IEEE Xplore, Scopus",1,1,0,
Critical Information Only: a Content Privacy-Preserving Framework for Detecting Audio Deepfakes,10.1109/TDSC.2025.3624972,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11216043,C,,0,0,0,IEEE Xplore
Cross-Domain Deepfake Detection Based on Latent Domain Knowledge Distillation,,,B,IEEE Xplore,0,1,0,
Customized Convolutional Neural Network for Accurate Detection of Deep Fake Images in Video Collections,,,A,ScienceDirect,0,0,1,
Customized Transformer Adapter With Frequency Masking for Deepfake Detection,,,B,"IEEE Xplore, Scopus",1,1,0,
D3: Scaling Up Deepfake Detection by Learning from Discrepancy,,,B,IEEE Xplore,0,1,0,
DAF-Net: A Data-Analytics-Driven Adaptive Framework for Deepfake Detection Using Hybrid Deep Learning Models,10.1109/ACROSET66531.2025.11280662,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280662,C,,0,0,0,IEEE Xplore
DDEM: Deepfake Detection Enhanced Model for Image Forgery Detection Combat Academic Misconduct,10.1109/BESC64747.2024.10780724,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780724,C,,0,0,0,IEEE Xplore
DDEM: Deepfake Detection Enhanced Model for Image Forgery Detection Combat Academic Misconduct,,,B,IEEE Xplore,0,1,0,
DDL: Effective and Comprehensible Interpretation Framework for Diverse Deepfake Detectors,,,B,IEEE Xplore,0,1,0,
"DEFENDAI: Enhancing Deepfake Detection with Hybrid Architectures using EfficientNet, XceptionNet, Vision Transform and LSTM",10.1109/ICSSAS66150.2025.11081343,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081343,C,,0,0,0,IEEE Xplore
DF-VLAD: Deepfake Video Detection based on Feature Aggregation,10.1109/ITME53901.2021.00029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9750563,C,,0,0,0,IEEE Xplore
DFFMD: A Deepfake Face Mask Dataset for Infectious Disease Era With Deepfake Detection Algorithms,10.1109/ACCESS.2023.3246661,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10049065,C,,0,0,0,IEEE Xplore
DFGNN: An interpretable and generalized graph neural network for deepfakes detection,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150031931&partnerID=40&md5=3edfb1f198f3f130968e2c5e40bd4c42,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150031931&partnerID=40&md5=3edfb1f198f3f130968e2c5e40bd4c42,C,,0,0,0,Scopus
DIP: Diffusion Learning of Inconsistency Pattern for General DeepFake Detection,,,B,IEEE Xplore,0,1,0,
DIP: Diffusion Learning of Inconsistency Pattern for General DeepFake Detection,10.1109/TMM.2024.3521766,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10814697,C,,0,0,0,IEEE Xplore
"Datasets, clues and state-of-the-arts for multimedia forensics: An extensive review",,,A|B,ScienceDirect,0,0,1,
